operation_id,container_id,operation_type,location_id,resource_id,planned_start,planned_end,due_time,lateness_minutes,dependencies,critical_path_minutes
AXIU0000001:DISCHARGE,AXIU0000001,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:12:00,2026-06-08T06:30:00,2026-06-10T11:12:00,0,[],322
ARGU0000002:DISCHARGE,ARGU0000002,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:18:00,2026-06-08T06:36:00,2026-06-10T13:18:00,0,[],332
CMDU0000003:DISCHARGE,CMDU0000003,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:24:00,2026-06-08T06:37:00,2026-06-10T13:24:00,0,[],444
AXIU0000001:GATE_READY,AXIU0000001,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:30:00,2026-06-08T06:36:00,2026-06-10T11:12:00,0,"[""AXIU0000001:DISCHARGE""]",304
AXIU0000001:DRAY_IN,AXIU0000001,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T06:36:00,2026-06-08T07:22:00,2026-06-10T11:12:00,0,"[""AXIU0000001:GATE_READY""]",298
GVIU0000005:DISCHARGE,GVIU0000005,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:36:00,2026-06-08T06:54:00,2026-06-10T11:36:00,0,[],545
CMDU0000003:GATE_READY,CMDU0000003,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:37:00,2026-06-08T06:46:00,2026-06-10T13:24:00,0,"[""CMDU0000003:DISCHARGE""]",431
YYBU0000006:DISCHARGE,YYBU0000006,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:42:00,2026-06-08T07:05:00,2026-06-09T20:42:00,0,[],534
ARGU0000002:GATE_READY,ARGU0000002,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:46:00,2026-06-08T06:54:00,2026-06-10T13:18:00,0,"[""ARGU0000002:DISCHARGE""]",314
CMDU0000003:DRAY_IN,CMDU0000003,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T06:46:00,2026-06-08T07:36:00,2026-06-10T13:24:00,0,"[""CMDU0000003:GATE_READY""]",422
ARGU0000002:DRAY_IN,ARGU0000002,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T06:54:00,2026-06-08T07:56:00,2026-06-10T13:18:00,0,"[""ARGU0000002:GATE_READY""]",306
GVIU0000005:GATE_READY,GVIU0000005,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T06:54:00,2026-06-08T07:02:00,2026-06-10T11:36:00,0,"[""GVIU0000005:DISCHARGE""]",527
VRYU0000009:DISCHARGE,VRYU0000009,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:00:00,2026-06-08T07:12:00,2026-06-09T22:00:00,0,[],511
GVIU0000005:DRAY_IN,GVIU0000005,drayage_import,NETWORK,DRAYAGE_TRUCKS,2026-06-08T07:02:00,2026-06-08T08:27:00,2026-06-10T11:36:00,0,"[""GVIU0000005:GATE_READY""]",519
YYBU0000006:GATE_READY,YYBU0000006,terminal_gate_ready,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:05:00,2026-06-08T07:13:00,2026-06-09T20:42:00,0,"[""YYBU0000006:DISCHARGE""]",511
BHSU0000011:DISCHARGE,BHSU0000011,terminal_discharge,PORT-MARIEN,TERMINAL_CRANES,2026-06-08T07:12:00,2026-06-08T07:34:00,2026-06-10T13:12:00,0,[],404
